player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Nick Pope,98747,Burnley,90,3114,0,0,0,4,1099,429,0.0
Nicolás Otamendi,57410,Manchester City,43,2968,4,32,0,12,3074,2825,2.74
Niki Mäenpää,48860,Brighton and Hove Albion,36,0,0,0,0,0,0,0,0.0
Nikola Vlasic,180151,Everton,11,575,0,5,0,12,203,150,0.26
Nordin Amrabat,44604,Watford,57,200,0,1,0,3,66,40,0.05
Nya Kirby,209043,Crystal Palace,31,0,0,0,0,0,0,0,0.0
Oleksandr Zinchenko,206325,Manchester City,43,533,0,5,0,8,672,621,0.1
Oliver Burke,197937,West Bromwich Albion,35,358,0,4,2,4,140,111,0.48
Oliver McBurnie,169432,Swansea City,80,269,0,5,1,1,99,68,0.42
Olivier Giroud,44346,Chelsea,8,984,7,48,1,20,375,249,6.95
Orestis Karnezis,48332,Watford,57,1291,0,0,0,0,373,167,0.0
Oriol Romeu,78056,Southampton,20,2901,1,27,0,22,1843,1522,2.63
Oumar Niasse,113688,Everton,11,1081,8,37,2,11,250,156,7.05
Pablo Zabaleta,20658,West Ham United,21,3291,0,6,1,17,1153,844,0.35
Pape Souaré,79228,Crystal Palace,31,8,0,0,0,0,9,8,0.0
Pascal Groß,60307,Brighton and Hove Albion,36,2947,7,44,8,82,1215,926,3.33
Patrice Evra,14075,West Ham United,21,228,0,0,0,0,97,68,0.0
Patrick van Aanholt,74230,Crystal Palace,31,2185,5,33,1,18,882,681,3.09
Paul Dummett,106618,Newcastle United,4,1603,0,4,0,6,599,416,0.26
Paul Pogba,74208,Manchester United,1,2151,6,76,10,39,1721,1468,7.65
Paulo Gazzaniga,102884,Tottenham Hotspur,6,90,0,0,0,0,22,17,0.0
Pedro,49579,Chelsea,8,1523,4,56,2,26,654,543,3.06
Pedro Obiang,59779,West Ham United,21,1562,2,13,0,6,757,609,0.38
