eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,blockedX,blockedY,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
29.0,1,1938401710.0,True,1,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '7.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '30.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 116, 29, 34, 36, 215, 217]",18.0,13,48.9,21.2,Successful,1,FirstHalf,1,Pass,1,44.9,30.6,26820.0,,,,,,,,,,,,,,,,,,,,,,,,
30.0,1,1712049027.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '61.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '37.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]","[90, 118, 116, 29, 35, 36, 215, 217]",19.0,13,45.5,35.5,Successful,1,FirstHalf,1,Pass,1,61.3,37.3,69738.0,,,,,,,,,,,,,,,,,,,,,,,,
31.0,1,1335156840.0,True,1,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '32.1'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '97.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '68.0'}]","[90, 118, 116, 126, 204, 35, 36, 216, 217]",24.0,13,54.0,55.7,Successful,1,FirstHalf,1,Pass,1,68.0,97.7,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
32.0,1,997817576.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '86.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '43.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '13.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.0'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]","[90, 118, 116, 126, 204, 35, 37, 216, 217]",31.0,13,72.8,73.6,Successful,1,FirstHalf,1,Pass,1,86.2,13.1,25244.0,,,,,,,,,,,,,,,,,,,,,,,,
12.0,1,962419211.0,False,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '33'}]",[54],36.0,27,11.7,83.4,Unsuccessful,0,FirstHalf,1,Challenge,45,,,122945.0,,,,,,,,,,,,,,,,,,,,,,,,
33.0,1,1492541061.0,True,1,"[{'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '12'}]","[90, 53]",36.0,13,88.3,16.6,Successful,1,FirstHalf,1,TakeOn,3,,,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
34.0,1,1758296194.0,True,1,"[{'type': {'displayName': 'Cross', 'value': 2}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.4'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '56.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '94.7'}]","[90, 123, 125, 35, 36, 216, 217]",38.0,13,91.5,20.3,Unsuccessful,0,FirstHalf,1,Pass,1,94.7,56.7,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
13.0,1,324227917.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '38.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '7.1'}, {'type': {'displayName': 'Head', 'value': 15}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '0.0'}]","[90, 94, 56, 214]",40.0,27,4.5,44.0,Unsuccessful,0,FirstHalf,1,Clearance,12,0.0,38.0,91434.0,,,,,,,,,,,,,,,,,,,,,,,,
14.0,1,1617080064.0,False,1,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '35'}, {'type': {'displayName': 'MissLeft', 'value': 73}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",[121],41.0,27,2.2,40.6,Unsuccessful,0,FirstHalf,1,CornerAwarded,6,,,91434.0,,,,,,,,,,,,,,,,,,,,,,,,
35.0,1,1022166501.0,False,1,"[{'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '14'}, {'type': {'displayName': 'MissLeft', 'value': 73}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",[121],41.0,13,97.8,59.4,Successful,1,FirstHalf,1,CornerAwarded,6,,,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
