eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
19.0,2,345951813.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '62.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '4.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '1.4'}]","[90, 118, 116, 29, 138, 35, 215, 217]",18.0,167,57.9,1.4,Successful,1,FirstHalf,1,Pass,1,62.0,1.4,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
20.0,2,1053983285.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '66.0'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '4.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '4.6'}]","[90, 119, 28, 138, 35, 36, 215, 217]",20.0,167,62.0,1.4,Unsuccessful,0,FirstHalf,1,Pass,1,66.0,4.0,73084.0,,,,,,,,,,,,,,,,,,,,,,,,
25.0,2,857680064.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.3'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '96.5'}]","[90, 117, 119, 28, 138, 35, 37, 215, 217]",21.0,13,34.5,96.8,Unsuccessful,0,FirstHalf,1,Pass,1,45.5,96.5,6321.0,,,,,,,,,,,,,,,,,,,,,,,,
21.0,2,2021825196.0,True,2,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.5'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '63.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '13.1'}]","[90, 119, 28, 138, 35, 36, 215, 217]",22.0,167,54.7,6.5,Unsuccessful,0,FirstHalf,1,Pass,1,63.3,13.1,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
26.0,2,976887592.0,True,2,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 100, 55]",24.0,13,39.6,88.1,Successful,1,FirstHalf,1,Interception,8,,,6321.0,,,,,,,,,,,,,,,,,,,,,,,,
27.0,2,1463901876.0,False,2,[],[92],25.0,13,44.1,76.0,Successful,1,FirstHalf,1,BallRecovery,49,,,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
28.0,2,326851026.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '80.8'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '4.3'}]","[90, 116, 29, 35, 36, 215, 217]",26.0,13,44.2,76.0,Successful,1,FirstHalf,1,Pass,1,46.9,80.8,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
29.0,2,2145252174.0,True,2,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '65.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.5'}]","[90, 116, 29, 34, 37, 215, 217]",27.0,13,46.9,80.8,Successful,1,FirstHalf,1,Pass,1,45.7,65.4,13796.0,,,,,,,,,,,,,,,,,,,,,,,,
30.0,2,710056325.0,True,2,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '33.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '39.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.3'}]","[90, 116, 29, 34, 37, 215, 217]",28.0,13,45.7,65.1,Successful,1,FirstHalf,1,Pass,1,39.3,33.9,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
31.0,2,1541768447.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '73.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '8.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '29.4'}]","[90, 118, 116, 29, 204, 35, 36, 216, 217]",33.0,13,67.3,21.3,Successful,1,FirstHalf,1,Pass,1,73.5,29.4,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
32.0,2,841050821.0,True,2,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'LayOff', 'value': 156}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '30.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '65.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '8.7'}]","[90, 118, 116, 29, 34, 36, 215, 217]",34.0,13,73.5,29.4,Successful,1,FirstHalf,1,Pass,1,65.2,30.0,13756.0,,,,,,,,,,,,,,,,,,,,,,,,
33.0,2,1691709235.0,True,2,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '13.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '24.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '53.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.2'}]","[90, 118, 116, 29, 34, 37, 215, 217]",37.0,13,66.2,24.4,Successful,1,FirstHalf,1,Pass,1,53.3,24.0,26820.0,,,,,,,,,,,,,,,,,,,,,,,,
34.0,2,528948485.0,True,2,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '13.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.0'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '3.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '59.5'}]","[90, 118, 116, 29, 35, 37, 215, 217]",39.0,13,56.3,22.8,Successful,1,FirstHalf,1,Pass,1,59.5,3.4,6292.0,,,,,,,,,,,,,,,,,,,,,,,,
