eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType_displayName,cardType_value,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,cardType_$idx,cardType_$len,Assist
19.0,1,1677070933.0,False,1,[],[92],8.0,13,53.6,13.7,Successful,1,FirstHalf,1,BallRecovery,49,,,13756.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,1,816354519.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '32.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '12.8'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '55.7'}]","[90, 119, 28, 123, 35, 36, 215, 217]",9.0,13,53.6,14.0,Unsuccessful,0,FirstHalf,1,Pass,1,55.7,32.6,13756.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1,2127604342.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '95.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.8'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '61.8'}, {'type': {'displayName': 'Chipped', 'value': 155}}]","[90, 118, 116, 29, 123, 35, 36, 215, 217]",12.0,259,45.3,68.2,Successful,1,FirstHalf,1,Pass,1,61.8,95.6,69346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,1,1665263086.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}]","[90, 68]",14.0,259,62.8,96.1,Unsuccessful,0,FirstHalf,1,BallTouch,61,,,28416.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,1,1761013037.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '12.3'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '15.9'}]","[90, 116, 29, 35, 36, 215, 217]",14.0,13,30.3,8.2,Successful,1,FirstHalf,1,Pass,1,45.2,12.3,6292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,1,745921787.0,False,1,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '22'}]",[54],17.0,259,54.5,89.2,Unsuccessful,0,FirstHalf,1,Challenge,45,,,40027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1,1974071949.0,True,1,"[{'type': {'displayName': 'Offensive', 'value': 286}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '19'}]","[90, 53]",17.0,13,45.5,10.8,Successful,1,FirstHalf,1,TakeOn,3,,,69738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1,1931497799.0,True,1,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '22.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '35.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '54.3'}]","[90, 118, 116, 29, 34, 36, 215, 217]",19.0,13,60.2,4.2,Successful,1,FirstHalf,1,Pass,1,54.3,35.2,69738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,1,1523350782.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '24.0'}]","[90, 116, 29, 34, 36, 215, 217]",26.0,13,41.0,33.2,Successful,1,FirstHalf,1,Pass,1,37.1,68.0,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,1,2073316374.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '26.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '24.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.3'}]","[90, 116, 29, 35, 37, 215, 217]",30.0,13,35.4,62.8,Successful,1,FirstHalf,1,Pass,1,36.3,26.9,30051.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1,1331460505.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '39.8'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '23.0'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '62.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.5'}]","[90, 116, 29, 35, 36, 215, 217]",35.0,13,38.5,28.8,Successful,1,FirstHalf,1,Pass,1,39.8,62.6,6292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1,382458083.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.2'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.4'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '39.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '27.7'}]","[90, 116, 29, 34, 37, 215, 217]",42.0,13,44.5,53.3,Successful,1,FirstHalf,1,Pass,1,39.4,27.7,30051.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,1,1717813862.0,True,1,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '19.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '41.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '63.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 116, 29, 34, 36, 215, 217]",46.0,13,42.2,34.5,Successful,1,FirstHalf,1,Pass,1,41.5,63.3,6292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,1,766387479.0,True,1,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Left'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '24.9'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '97.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '54.7'}]","[90, 118, 116, 29, 35, 36, 215, 217]",49.0,13,43.6,65.2,Successful,1,FirstHalf,1,Pass,1,54.7,97.6,30051.0,,,,,,,,,,,,,,,,,,,,,,,,,,
