Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0.0,1,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,9,23,9,0,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,148,49,33.1,87,46,15,24,0,0,24,18,43,24,0,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,4,2,1,0,3,2,3,66.7,1,23,6,26.1,5,13,5,2,0,0,2,2,6,2,0,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,31,20,15,14,2,9,38,23.7,29,483,123,25.5,144,216,123,46,2,0,44,17,48,13,0,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,5,9,1,0,Matches
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,28,19,8,16,4,3,28,10.7,25,388,100,25.8,88,205,95,19,1,0,18,13,41,12,0,Matches
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,2,2,2,0,0,0,2,0.0,2,29,7,24.1,6,10,13,3,0,0,3,0,2,0,0,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,63,32,39,16,8,19,45,42.2,26,303,97,32.0,146,126,31,20,3,0,17,21,84,65,0,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,74,49,28,38,8,20,63,31.7,43,800,207,25.9,170,515,115,69,6,0,63,41,115,49,0,Matches
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,5,2,2,3,0,3,4,75.0,1,24,7,29.2,14,6,4,2,0,0,2,2,7,2,0,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,55,31,23,28,4,28,75,37.3,47,529,197,37.2,165,289,75,38,6,0,32,23,78,34,1,Matches
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,18,9,3,8,7,6,32,18.8,26,262,75,28.6,41,114,107,16,0,0,16,5,23,7,0,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,52,99,205,0,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,1,5,11,0,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,31,64,136,2,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,24,54,35,0,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1,0,1,0,0,1,1,100.0,0,5,1,20.0,5,0,0,0,0,0,0,0,1,1,0,Matches
122,Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,49,25,27,14,8,13,46,28.3,33,407,129,31.7,115,187,105,24,5,0,19,10,59,22,1,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,5,3,0,4,1,0,12,0.0,12,165,43,26.1,26,69,70,14,0,0,14,6,11,6,0,Matches
124,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,4,3,3,1,0,1,4,25.0,3,76,17,22.4,21,36,19,7,0,0,7,2,6,1,0,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,57,35,21,31,5,22,83,26.5,61,578,185,32.0,169,320,89,37,7,0,30,29,86,45,0,Matches
