,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
1026,Frederic Guilbert,DF,Caen,fr Ligue 1,23,32.4,0.0308641975308642,0.0,1.9753086419753088,57.901234567901234,0.0308641975308642,0.001052936376319461
1029,Péter Gulácsi,GK,RB Leipzig,de Bundesliga,28,32.5,0.0,0.0,0.0,33.50769230769231,0.0,0.0
1030,Manuel Gulde,DF,Freiburg,de Bundesliga,27,19.0,0.0,0.0,0.15789473684210525,55.26315789473684,0.0,0.00015037593984962405
1032,İlkay Gündoğan,MF,Manchester City,eng Premier League,27,23.7,0.04219409282700422,0.12658227848101267,1.0126582278481013,95.9915611814346,0.16877637130801687,0.00044512449575740716
1034,Aron Gunnarsson,MF,Cardiff City,eng Premier League,29,25.2,0.0,0.11904761904761905,0.39682539682539686,46.62698412698413,0.11904761904761905,0.00033772374197906115
1035,Christian Günter,DF,Freiburg,de Bundesliga,25,32.0,0.125,0.0625,2.375,56.125,0.1875,0.0013223830734966592
1040,Régis Gurtner,GK,Amiens,fr Ligue 1,31,38.0,0.0,0.0,0.07894736842105263,32.421052631578945,0.0,6.408065618591935e-05
1042,Luiz Gustavo,"MF,DF",Marseille,fr Ligue 1,31,27.1,0.0,0.03690036900369004,0.8856088560885609,63.28413284132841,0.03690036900369004,0.0005163900035501812
1043,Jonathan de Guzmán,MF,Eint Frankfurt,de Bundesliga,30,17.4,0.0,0.0,1.2068965517241381,63.390804597701155,0.0,0.0010941945165223372
1044,Janik Haberer,"MF,FW",Freiburg,de Bundesliga,24,26.0,0.038461538461538464,0.23076923076923078,1.8461538461538463,53.5,0.2692307692307692,0.001327213404855389
1049,Oussama Haddadi,"DF,MF",Dijon,fr Ligue 1,26,29.7,0.03367003367003367,0.03367003367003367,0.9427609427609428,65.08417508417509,0.06734006734006734,0.000487719059886675
1050,Florent Hadergjonaj,"DF,MF",Huddersfield,eng Premier League,24,20.5,0.04878048780487805,0.04878048780487805,1.1219512195121952,56.68292682926829,0.0975609756097561,0.0009655346123168633
1052,André Hahn,"FW,MF",Augsburg,de Bundesliga,27,22.8,0.08771929824561403,0.08771929824561403,2.017543859649123,37.01754385964912,0.17543859649122806,0.002390454810010809
1055,Achraf Hakimi,DF,Dortmund,de Bundesliga,19,19.3,0.0,0.41450777202072536,3.2124352331606216,94.87046632124353,0.41450777202072536,0.0017544703621849382
1056,Sébastien Haller,FW,Eint Frankfurt,de Bundesliga,24,24.2,0.24793388429752067,0.08264462809917356,1.9834710743801653,46.611570247933884,0.3305785123966942,0.0017583963425356075
1059,Marcel Halstenberg,DF,RB Leipzig,de Bundesliga,26,26.8,0.18656716417910446,0.03731343283582089,1.6791044776119401,70.67164179104478,0.22388059701492538,0.0008865387949376664
1061,Romain Hamouma,"FW,MF",Saint-Étienne,fr Ligue 1,31,17.6,0.3409090909090909,0.056818181818181816,2.8977272727272725,46.87499999999999,0.3977272727272727,0.003512396694214876
1064,Samir Handanović,GK,Inter,it Serie A,34,38.0,0.0,0.0,0.0,31.94736842105263,0.0,0.0
1066,Genki Haraguchi,"MF,DF",Hannover 96,de Bundesliga,27,23.7,0.2109704641350211,0.25316455696202533,2.9957805907173,48.9451476793249,0.4641350210970464,0.0025825694747562927
1071,Joe Hart,GK,Burnley,eng Premier League,31,19.0,0.0,0.0,0.0,34.78947368421053,0.0,0.0
1072,Makoto Hasebe,"DF,MF",Eint Frankfurt,de Bundesliga,34,28.0,0.0,0.0,0.14285714285714285,60.464285714285715,0.0,8.43810648890389e-05
1073,Hans Hateboer,"DF,MF",Atalanta,it Serie A,24,33.0,0.06060606060606061,0.0,1.3636363636363635,64.84848484848484,0.06060606060606061,0.000637213254035684
1074,Kai Havertz,"MF,FW",Leverkusen,de Bundesliga,19,32.2,0.21739130434782608,0.21739130434782608,3.291925465838509,70.09316770186335,0.43478260869565216,0.0014585403038717363
1075,Isaac Hayden,MF,Newcastle Utd,eng Premier League,23,20.7,0.04830917874396135,0.0,0.7246376811594203,47.43961352657005,0.04830917874396135,0.0007379202455798578
1076,Eden Hazard,FW,Chelsea,eng Premier League,27,32.5,0.8307692307692308,0.7692307692307693,6.276923076923077,75.72307692307692,1.6,0.0025505579345481825
1077,Thorgan Hazard,"FW,DF",M'Gladbach,de Bundesliga,25,31.9,0.219435736677116,0.25078369905956116,3.981191222570533,55.893416927899686,0.4702194357366771,0.0022328610334102824
1079,Tom Heaton,GK,Burnley,eng Premier League,32,19.0,0.0,0.0,0.05263157894736842,33.421052631578945,0.0,8.288437629506838e-05
1080,Dominique Heintz,DF,Freiburg,de Bundesliga,24,33.9,0.0,0.0,0.7079646017699115,60.530973451327434,0.0,0.00034501198916662355
1081,Filip Helander,DF,Bologna,it Serie A,25,19.0,0.0,0.0,0.42105263157894735,50.73684210526316,0.0,0.00043677658877484165
1082,Jordan Henderson,MF,Liverpool,eng Premier League,28,22.1,0.0,0.0,0.8144796380090498,89.81900452488688,0.0,0.0004103171979894457
1083,Jeff Hendrick,"MF,FW",Burnley,eng Premier League,26,22.9,0.08733624454148473,0.0,1.3973799126637556,39.38864628820961,0.08733624454148473,0.0015492016770108155
1084,Wayne Hennessey,GK,Crystal Palace,eng Premier League,31,17.5,0.0,0.0,0.0,31.142857142857142,0.0,0.0
1085,Rouwen Hennings,FW,Düsseldorf,de Bundesliga,30,20.4,0.09803921568627452,0.14705882352941177,0.5392156862745099,30.58823529411765,0.2450980392156863,0.0008641277023629966
1086,Benjamin Henrichs,"DF,MF",Monaco,fr Ligue 1,21,20.3,0.19704433497536944,0.14778325123152708,0.0,2.216748768472906,0.3448275862068965,0.0
1090,Christophe Hérelle,DF,Nice,fr Ligue 1,25,32.6,0.03067484662576687,0.03067484662576687,0.5828220858895705,77.08588957055214,0.06134969325153374,0.0002319228356106528
1092,Mario Hermoso,DF,Espanyol,es La Liga,23,31.2,0.032051282051282055,0.0,0.4807692307692308,63.23717948717949,0.032051282051282055,0.00024367421731841398
1095,Theo Hernández,DF,Real Sociedad,es La Liga,20,22.0,0.18181818181818182,0.18181818181818182,3.272727272727273,67.0909090909091,0.36363636363636365,0.0022172949002217295
1098,Iago Herrerín,GK,Athletic Club,es La Liga,30,31.0,0.0,0.0,0.06451612903225806,33.74193548387097,0.0,6.167889964843027e-05
1102,Përparim Hetemaj,MF,Chievo,it Serie A,31,24.0,0.041666666666666664,0.08333333333333333,1.75,52.333333333333336,0.125,0.001393312101910828
1103,Son Heung-min,"FW,MF",Tottenham,eng Premier League,26,22.7,0.7048458149779736,0.13215859030837004,4.273127753303965,47.929515418502206,0.8370044052863437,0.003927507126198497
1107,Vitorino Hilton,DF,Montpellier,fr Ligue 1,40,35.9,0.0,0.0,0.30640668523676884,51.25348189415042,0.0,0.0001665253724112874
1109,Martin Hinteregger,DF,Augsburg,de Bundesliga,25,17.5,0.0,0.0,0.4,37.94285714285714,0.0,0.0006024096385542168
1115,Nicolas Höfler,MF,Freiburg,de Bundesliga,28,17.9,0.223463687150838,0.0558659217877095,1.1731843575418994,60.11173184357543,0.2793296089385475,0.0010903200348902412
1116,Jonas Hofmann,MF,M'Gladbach,de Bundesliga,26,21.2,0.09433962264150944,0.14150943396226415,1.2264150943396226,63.77358490566038,0.2358490566037736,0.0009071117561683601
1118,Jonathan Hogg,MF,Huddersfield,eng Premier League,29,26.3,0.0,0.11406844106463879,0.6463878326996197,69.1254752851711,0.11406844106463879,0.000355548862871078
1119,Junior Hoilett,"FW,MF",Cardiff City,eng Premier League,28,23.8,0.1680672268907563,0.1680672268907563,2.310924369747899,35.84033613445378,0.3361344537815126,0.002709172766410198
1121,José Holebas,DF,Watford,eng Premier League,34,26.6,0.03759398496240601,0.0,1.7293233082706767,60.78947368421052,0.03759398496240601,0.0010694640125359781
1126,Lukáš Hrádecký,GK,Leverkusen,de Bundesliga,28,32.0,0.0,0.0,0.0,44.5625,0.0,0.0
1131,Will Hughes,"MF,FW",Watford,eng Premier League,23,26.9,0.03717472118959108,0.3345724907063197,1.5985130111524164,52.56505576208179,0.3717472118959108,0.0011304901068970412
1132,Vitor Hugo,DF,Fiorentina,it Serie A,27,27.4,0.0,0.0,0.14598540145985403,58.284671532846716,0.0,9.141227392602005e-05
