Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
Pass,22,14,4511,26,Unsuccessful,77.8,61.0,85.6,52.2
Clearance,22,15,297403,13,Successful,14.4,46.4,19.2,50.1
TakeOn,22,17,4511,26,Unsuccessful,80.7,47.3,,
Tackle,22,17,297403,13,Unsuccessful,19.3,52.7,,
Pass,22,22,95408,26,Successful,52.5,73.5,57.9,87.4
Pass,22,25,115726,26,Successful,58.8,83.2,52.2,47.8
Pass,22,29,136451,26,Successful,55.3,44.3,53.2,69.4
Pass,22,32,95408,26,Successful,54.2,70.2,60.2,92.7
Pass,22,37,115726,26,Successful,63.5,94.4,55.8,74.1
Pass,22,41,95408,26,Successful,55.7,73.6,66.3,95.9
BallTouch,22,47,115726,26,Unsuccessful,77.1,96.0,,
Pass,23,12,125211,13,Successful,23.1,0.0,23.2,17.9
Pass,23,14,125209,13,Successful,23.2,17.9,14.8,61.4
Pass,23,17,297403,13,Successful,15.5,63.3,31.5,72.1
Foul,23,20,89401,13,Successful,29.8,77.8,,
Foul,23,20,4511,26,Unsuccessful,70.2,22.2,,
Pass,23,45,27586,13,Unsuccessful,34.2,85.1,68.1,90.7
Pass,23,48,386969,26,Unsuccessful,31.5,9.9,40,7.9
BallTouch,23,50,255169,13,Unsuccessful,62.3,94.0,,
Pass,24,1,386969,26,Successful,27.0,0.0,55.1,3.7
BallTouch,24,5,108226,26,Unsuccessful,55.3,4.6,,
BallRecovery,24,6,89401,13,Successful,43.2,87.9,,
Pass,24,7,89401,13,Successful,44.7,85.3,56,74.4
TakeOn,24,8,367185,13,Unsuccessful,57.0,71.5,,
Tackle,24,8,95408,26,Successful,43.0,28.5,,
BallRecovery,24,10,33568,26,Successful,44.7,32.4,,
