,Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Recipient,Pass Recipient Name,Player Name
59,Pass,3,45,89401,13,Unsuccessful,47.3,69.8,67.8,10.7,OpenPlay,,,Granit Xhaka
60,Pass,3,55,115726,26,Unsuccessful,68.1,93.4,86.2,43.3,OpenPlay,,,Andrew Robertson
61,Pass,4,14,102248,13,Successful,13.8,62.0,58.9,92.9,OpenPlay,44120.0,Pierre-Emerick Aubameyang,Emiliano Martínez
62,Pass,4,17,44120,13,Successful,58.9,92.9,55.5,83,OpenPlay,345845.0,Eddie Nketiah,Pierre-Emerick Aubameyang
63,Pass,4,19,345845,13,Successful,55.5,83.0,52.4,91.7,OpenPlay,255169.0,Ainsley Maitland-Niles,Eddie Nketiah
64,Pass,4,20,255169,13,Unsuccessful,52.8,90.1,56.7,79.3,OpenPlay,,,Ainsley Maitland-Niles
65,Pass,4,21,297403,13,Successful,39.7,94.6,48.1,91.9,OpenPlay,255169.0,Ainsley Maitland-Niles,Kieran Tierney
66,Pass,4,22,255169,13,Successful,47.3,91.7,36.2,91.3,OpenPlay,297403.0,Kieran Tierney,Ainsley Maitland-Niles
67,Pass,4,24,297403,13,Successful,37.5,93.4,26.5,79.3,OpenPlay,27586.0,David Luiz,Kieran Tierney
68,Pass,4,27,27586,13,Successful,28.2,77.0,33.5,62.9,OpenPlay,125209.0,Mohamed Elneny,David Luiz
69,Pass,4,31,125209,13,Unsuccessful,35.6,46.4,79.9,40,OpenPlay,,,Mohamed Elneny
70,Pass,4,37,114147,26,Successful,19.6,61.4,25.1,34.2,OpenPlay,136451.0,Joseph Gomez,Alisson
71,Pass,4,42,136451,26,Successful,28.0,38.0,26.9,56.6,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
72,Pass,4,44,95408,26,Successful,26.4,58.5,11.7,52.6,OpenPlay,114147.0,Alisson,Virgil van Dijk
73,Pass,4,45,114147,26,Successful,12.4,53.6,13.5,96,OpenPlay,4511.0,James Milner,Alisson
74,Pass,4,50,4511,26,Successful,15.3,96.0,4.9,65.4,OpenPlay,114147.0,Alisson,James Milner
75,Pass,4,58,114147,26,Successful,10.2,53.1,12.3,73.5,OpenPlay,95408.0,Virgil van Dijk,Alisson
76,Pass,5,1,95408,26,Successful,13.3,73.2,25.6,69.4,OpenPlay,115916.0,Fabinho,Virgil van Dijk
77,Pass,5,2,115916,26,Successful,25.6,69.4,20.7,92.9,OpenPlay,4511.0,James Milner,Fabinho
78,Pass,5,4,4511,26,Successful,20.7,92.9,43.9,98.4,OpenPlay,115726.0,Andrew Robertson,James Milner
79,Pass,5,7,115726,26,Unsuccessful,43.6,98.3,44.6,97.2,OpenPlay,,,Andrew Robertson
80,Pass,5,8,115916,26,Successful,40.5,83.8,59.1,85.9,OpenPlay,109915.0,Sadio Mané,Fabinho
81,Pass,5,14,109915,26,Unsuccessful,63.1,67.8,65.5,43.5,OpenPlay,,,Sadio Mané
82,Pass,5,17,115916,26,Successful,60.2,60.9,47.1,42.2,OpenPlay,136451.0,Joseph Gomez,Fabinho
83,Pass,5,21,136451,26,Successful,46.6,41.9,42.4,59.1,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
84,Pass,5,23,95408,26,Successful,42.4,59.1,55.9,93.2,OpenPlay,115726.0,Andrew Robertson,Virgil van Dijk
85,Pass,5,26,115726,26,Successful,57.7,95.1,64,68.7,OpenPlay,96182.0,Roberto Firmino,Andrew Robertson
86,Pass,5,30,96182,26,Successful,61.2,64.0,71.5,56.3,OpenPlay,102248.0,Emiliano Martínez,Roberto Firmino
87,Pass,6,50,102248,13,Unsuccessful,8.5,52.7,65.4,71.1,OpenPlay,,,Emiliano Martínez
88,Pass,6,55,297403,13,Successful,46.4,75.2,53.2,18.7,OpenPlay,125211.0,Héctor Bellerín,Kieran Tierney
89,Pass,7,1,125211,13,Successful,60.1,9.8,59.3,24.2,OpenPlay,125209.0,Mohamed Elneny,Héctor Bellerín
90,Pass,7,3,125209,13,Successful,59.3,24.2,53.3,5.3,OpenPlay,125211.0,Héctor Bellerín,Mohamed Elneny
91,Pass,7,5,125211,13,Successful,51.5,2.5,33.5,10.6,OpenPlay,288795.0,Rob Holding,Héctor Bellerín
92,Pass,7,7,288795,13,Successful,32.3,16.3,27.1,48.2,OpenPlay,27586.0,David Luiz,Rob Holding
93,Pass,7,10,27586,13,Successful,30.1,53.2,38.3,96.6,OpenPlay,297403.0,Kieran Tierney,David Luiz
94,Pass,7,13,297403,13,Unsuccessful,41.3,97.2,85.7,63,OpenPlay,,,Kieran Tierney
95,Pass,7,19,114147,26,Successful,14.7,41.2,24,81.2,OpenPlay,115726.0,Andrew Robertson,Alisson
96,Pass,7,25,115726,26,Successful,30.3,93.5,35,71.2,OpenPlay,115916.0,Fabinho,Andrew Robertson
97,Pass,7,27,115916,26,Successful,35.9,61.4,29.4,32.8,OpenPlay,136451.0,Joseph Gomez,Fabinho
98,Pass,7,32,136451,26,Successful,29.0,30.7,26.1,46.3,OpenPlay,95408.0,Virgil van Dijk,Joseph Gomez
99,Pass,7,34,95408,26,Successful,26.1,48.4,28.4,72.4,OpenPlay,4511.0,James Milner,Virgil van Dijk
100,Pass,7,36,4511,26,Successful,28.7,81.1,36.5,93.6,OpenPlay,115726.0,Andrew Robertson,James Milner
101,Pass,7,38,115726,26,Successful,37.6,94.8,28.3,86,OpenPlay,4511.0,James Milner,Andrew Robertson
102,Pass,7,40,4511,26,Successful,27.7,82.9,24.4,54.8,OpenPlay,95408.0,Virgil van Dijk,James Milner
103,Pass,7,43,95408,26,Successful,21.4,55.1,7.5,44.6,OpenPlay,114147.0,Alisson,Virgil van Dijk
104,Pass,7,51,114147,26,Unsuccessful,9.7,40.4,46.2,61.2,OpenPlay,,,Alisson
105,Pass,7,54,27586,13,Unsuccessful,53.6,37.4,62,43.1,OpenPlay,,,David Luiz
106,Pass,7,59,367185,13,Successful,57.7,21.5,54.1,13.7,OpenPlay,125211.0,Héctor Bellerín,Bukayo Saka
107,Pass,8,0,125211,13,Successful,54.1,13.7,57.7,29.6,OpenPlay,125209.0,Mohamed Elneny,Héctor Bellerín
108,Pass,8,1,125209,13,Successful,57.7,29.6,37.5,25.6,OpenPlay,288795.0,Rob Holding,Mohamed Elneny
109,Pass,8,4,288795,13,Unsuccessful,37.1,28.1,41,33.5,OpenPlay,,,Rob Holding
110,Pass,8,7,386969,26,Successful,27.5,30.3,29.2,35.8,OpenPlay,255169.0,Ainsley Maitland-Niles,Neco Williams
111,Pass,8,10,255169,13,Unsuccessful,66.8,60.6,75.9,50.3,OpenPlay,,,Ainsley Maitland-Niles
112,Pass,8,11,136451,26,Successful,22.6,49.5,7.1,46.6,OpenPlay,114147.0,Alisson,Joseph Gomez
