id,playerId,teamId,matchId,matchPeriod,eventSec,eventId,subEventId,StartX,StartY,EndX,EndY,accurate,recipientId,carryStartX,carryStartY,isCarry,carryStart,carryEnd,carryId,carryXGain,Position,Formation,lost,not_accurate,won,Right,blocked,interception,high,neutral,take_on_r,take_on_l,sliding_tackle,yellow_card,keypass,free_space_l,free_space_r,Left,counter_attack,anticipation,anticipated,Goal,opportunity,gr,through,or,olb,direct,glb,gtl,head_body,ot,missed_ball,assist,gt,gl,gc,gb,red_card,otr,otl,eventOrder,Feint,gbr,obr,dangerous_ball_lost,gtr,pbr,ol,pl,fairplay,pt,plb,ptr,ptl,second_yellow_card,own_goal,indirect,pr,seasonId,leagueId,recipientPosition,id,xG,seasonId
626599532,448597,10531,2831125,2,386.2839560000002,10,100,93,54,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NULL,0,NULL,0,0,NULL,NULL,0,0,0,0,NULL,NULL,1,0,NULL,0,NULL,971,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,626599532,0.1986059462948939,185728
626600042,448597,10531,2831125,2,2207.6565570000002,10,100,86,62,0,0,0,0,71,57,0,0,1,60,15,cf,3-4-1-2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,0,0,NULL,NULL,0,0,0,0,NULL,NULL,0,0,NULL,0,NULL,1358,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,626600042,0.13828622506832713,185728
626649955,448597,10531,2831127,1,591.432912,10,100,93,52,0,0,0,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NULL,NULL,NULL,1,NULL,0,0,0,0,NULL,0,NULL,NULL,0,193,NULL,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,626649955,0.12583911722561747,185728
626649984,448597,10531,2831127,1,693.579022,10,100,89,51,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,1,NULL,NULL,0,229,NULL,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,626649984,0.18808187006648994,185728
626651040,448597,10531,2831127,2,2117.376185,10,100,83,49,0,0,1,0,70,48,0,0,1,114,13,cf,3-4-1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,1,0,NULL,0,NULL,NULL,0,1418,NULL,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,626651040,0.04750343985941402,185728
632254679,448597,10531,2831174,1,2699.613192,10,100,93,51,0,0,0,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,1,0,1,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,1,NULL,0,0,1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,0,0,NULL,0,0,822,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,632254679,0.19701569089300466,185728
632255143,448597,10531,2831174,2,970.2798210000001,10,100,88,28,0,0,1,0,82,29,0,0,1,138,6,cf,3-4-1-2,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,1,0,0,0,0,1,NULL,0,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,1,0,NULL,0,0,1200,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,632255143,0.11871854922754715,185728
633247593,448597,10531,2831158,1,450.445787,10,100,90,40,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NULL,0,NULL,NULL,NULL,NULL,1,0,0,0,0,NULL,0,NULL,NULL,0,NULL,NULL,173,0,0,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,633247593,0.2295281565468507,185728
633424376,448597,10531,2831150,1,496.363667,10,100,88,39,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,NULL,NULL,0,NULL,0,0,0,NULL,0,NULL,0,1,NULL,0,0,154,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,633424376,0.2687311430725816,185728
633424918,448597,10531,2831150,1,2174.339163,10,100,92,60,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,NULL,NULL,0,NULL,1,0,0,NULL,1,NULL,0,0,NULL,0,0,573,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,633424918,0.09223699033220738,185728
638860210,448597,10531,5084626,2,1273.0828920000004,10,100,88,44,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,0,0,0,NULL,1,0,0,0,0,NULL,0,1,NULL,0,0,1205,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,638860210,0.1464275990965987,185728
638860459,448597,10531,5084626,2,1922.2732299999998,10,100,80,50,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NULL,0,NULL,0,0,0,NULL,0,0,0,0,0,NULL,0,0,NULL,0,0,1378,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,638860459,0.04573635166270655,185728
638860621,448597,10531,5084626,2,2779.771782,10,100,79,62,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,0,0,0,NULL,0,0,0,0,0,NULL,0,1,NULL,0,0,1613,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,638860621,0.04300396070467714,185728
638879552,448597,10531,2831183,1,965.041157,10,100,69,46,0,0,1,0,0,0,0,0,0,-1,0,lwf,3-4-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,347,0,0,0,NULL,1,NULL,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,638879552,0.029886925791998108,185728
638879860,448597,10531,2831183,1,2028.766317,10,100,76,58,0,0,0,0,0,0,0,0,0,-1,0,lwf,3-4-3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,0,0,0,0,0,1,0,0,NULL,0,0,0,0,0,0,610,0,0,0,NULL,0,NULL,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,638879860,0.0407392049058234,185728
638880610,448597,10531,2831183,2,1883.5046869999996,3,33,70,42,0,0,0,0,0,0,0,0,0,-1,0,cf,4-1-3-2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL,0,1,0,0,0,0,0,0,NULL,0,0,0,0,1,0,1279,0,0,0,NULL,0,NULL,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,185728,346,0,NULL,NULL,NULL
641861182,448597,10531,5084624,1,1206.928649,10,100,86,58,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,NULL,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,352,0,1,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,185728,346,0,641861182,0.2579762298832861,185728
641862824,448597,10531,5084624,1,2276.771819,10,100,96,52,0,0,1,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,NULL,0,NULL,1,0,0,0,NULL,0,0,1,0,0,0,630,0,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,185728,346,0,641862824,0.1773452025003042,185728
