Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,167,2,8,73,89,31,150,4,7,57.1,5,1,85,253,112,231,116,50.2,13,8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,2018,49,398,1386,350,26,1962,59,70,84.3,61,0,1536,7066,3397,1576,1515,96.1,13,20,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1330,77,349,890,170,15,1236,21,29,72.4,21,1,828,4731,2457,811,743,91.6,14,14,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2265,353,1224,1038,114,22,2185,0,2,0.0,0,0,1362,6528,3056,1535,1500,97.7,3,2,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1436,84,442,758,319,20,1209,19,32,59.4,22,2,778,3835,1987,830,763,91.9,15,24,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,49,0,2,27,22,4,49,1,2,50.0,1,0,21,166,80,68,40,58.8,5,2,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,170,1,18,109,56,2,165,2,3,66.7,2,0,131,596,250,157,146,93.0,4,0,Matches
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,469,5,64,310,133,11,465,16,23,69.6,16,0,396,2276,1174,436,380,87.2,5,9,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,351,310,351,0,0,0,246,1,1,100.0,1,0,162,549,279,146,145,99.3,0,1,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9334,5698,2363,2230,94.4,36,22,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,85,69,85,0,0,0,48,0,0,,0,0,29,133,77,24,23,95.8,0,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,656,14,38,312,335,79,610,23,30,76.7,25,1,419,2190,1064,851,496,58.3,42,26,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0,Matches
