Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,,Matches
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,1,0,0,8,16,1,36,9,17,0,0,0,104,21,20,51.2,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
122,Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,26,20,4,14,9,25,0,0,0,169,10,29,25.6,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,6,5,3,0,0,0,46,8,25,24.2,Matches
124,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,2,0,0,9,6,1,10,2,3,0,0,0,33,1,5,16.7,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,63,23,35,0,0,0,350,23,20,53.5,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,,Matches
127,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,15,10,5,0,0,0,67,3,4,42.9,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,2,0,0,11,5,0,1,8,21,0,0,0,100,7,11,38.9,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,2,0,0,2,5,0,0,0,0,0,1,0,137,0,0,,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,9,2,4,0,0,0,19,3,5,37.5,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,0,1,0,0,0,6,0,1,0.0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,36,19,21,2,0,0,160,24,67,26.4,Matches
133,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,1,3,0,0,18,2,11,15.4,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,0,0,0,2,1,0,0,1,1,0,0,0,2,2,0,100.0,Matches
135,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,11,10,4,15,7,9,0,0,0,50,7,12,36.8,Matches
136,Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,17,17,1,1,0,70,14,9,60.9,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,84,9,24,0,0,0,125,37,59,38.5,Matches
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1,0,0,0,5,0,0,0,0,0,0,1,140,0,0,,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,7,4,1,65,8,13,0,0,0,119,15,5,75.0,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,0,0,0,2,7,4,0,4,0,1,0,0,11,0,8,0.0,Matches
141,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,35,8,18,0,0,0,85,21,15,58.3,Matches
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,4,1,1,40,22,6,98,29,55,0,2,1,320,67,67,50.0,Matches
