Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,Matches,Season,nineties,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Samir Nasri,fr FRA,"FW,MF",22.0,26,22,1880.0,2.0,4.0,0.0,0.0,2.0,0.0,0.1,0.19,0.29,0.1,0.29,Matches,2009/2010,20.88888888888889,,,,,,,,
Denílson,br BRA,MF,21.0,20,19,1567.0,4.0,1.0,0.0,0.0,2.0,0.0,0.23,0.06,0.29,0.23,0.29,Matches,2009/2010,17.411111111111108,,,,,,,,
Emmanuel Eboué,ci CIV,"DF,MF",26.0,25,17,1493.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2009/2010,16.588888888888892,,,,,,,,
Tomáš Rosický,cz CZE,MF,28.0,25,14,1306.0,3.0,4.0,0.0,0.0,1.0,0.0,0.21,0.28,0.48,0.21,0.48,Matches,2009/2010,14.511111111111115,,,,,,,,
Robin van Persie,nl NED,FW,25.0,16,14,1252.0,9.0,6.0,0.0,0.0,3.0,0.0,0.65,0.43,1.08,0.65,1.08,Matches,2009/2010,13.911111111111113,,,,,,,,
Nicklas Bendtner,dk DEN,FW,21.0,23,13,1234.0,6.0,4.0,0.0,0.0,2.0,0.0,0.44,0.29,0.73,0.44,0.73,Matches,2009/2010,13.711111111111109,,,,,,,,
Eduardo da Silva,hr CRO,FW,26.0,24,13,1120.0,4.0,5.0,0.0,0.0,0.0,0.0,0.32,0.4,0.72,0.32,0.72,Matches,2009/2010,12.444444444444445,,,,,,,,
Theo Walcott,eng ENG,"FW,MF",20.0,23,12,1129.0,3.0,1.0,0.0,0.0,0.0,0.0,0.24,0.08,0.32,0.24,0.32,Matches,2009/2010,12.544444444444444,,,,,,,,
Per Mertesacker,de GER,DF,29.0,35,35,3150.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2014/2015,35.0,,,,,,,,
Alexis Sánchez,cl CHI,"FW,MF",25.0,35,34,2942.0,16.0,8.0,0.0,1.0,4.0,0.0,0.49,0.24,0.73,0.49,0.73,Matches,2014/2015,32.68888888888889,,,,,,,,
Santi Cazorla,es ESP,MF,29.0,37,33,2990.0,7.0,11.0,6.0,6.0,5.0,0.0,0.21,0.33,0.54,0.03,0.36,Matches,2014/2015,33.22222222222222,,,,,,,,
Nacho Monreal,es ESP,DF,28.0,28,26,2311.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2014/2015,25.677777777777774,,,,,,,,
Laurent Koscielny,fr FRA,DF,28.0,27,26,2287.0,3.0,0.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2014/2015,25.41111111111111,,,,,,,,
Aaron Ramsey,wal WAL,MF,23.0,29,23,2007.0,6.0,5.0,0.0,0.0,6.0,0.0,0.27,0.22,0.49,0.27,0.49,Matches,2014/2015,22.3,,,,,,,,
Olivier Giroud,fr FRA,FW,27.0,27,21,1862.0,14.0,3.0,0.0,0.0,5.0,1.0,0.68,0.15,0.82,0.68,0.82,Matches,2014/2015,20.68888888888889,,,,,,,,
Mesut Özil,de GER,MF,25.0,22,21,1856.0,4.0,5.0,0.0,0.0,0.0,0.0,0.19,0.24,0.44,0.19,0.44,Matches,2014/2015,20.622222222222227,,,,,,,,
Francis Coquelin,fr FRA,"DF,MF",23.0,22,19,1661.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,18.45555555555556,,,,,,,,
Danny Welbeck,eng ENG,"FW,MF",23.0,25,18,1663.0,4.0,4.0,0.0,0.0,3.0,0.0,0.22,0.22,0.43,0.22,0.43,Matches,2014/2015,18.477777777777774,,,,,,,,
Kieran Gibbs,eng ENG,"DF,MF",24.0,22,18,1659.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,2014/2015,18.433333333333334,,,,,,,,
David Ospina,co COL,GK,25.0,18,18,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2014/2015,18.0,,,,,,,,
Calum Chambers,eng ENG,"DF,MF",19.0,23,17,1573.0,1.0,0.0,0.0,0.0,8.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches,2014/2015,17.477777777777778,,,,,,,,
