Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,27.0,21.0,12.0,11.0,4.0,11.0,22.0,50.0,11.0,210.0,81.0,38.6,65.0,112.0,33.0,13.0,1.0,0.0,12.0,11.0,38.0,11.0,0.0
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,13.0,7.0,5.0,7.0,1.0,9.0,17.0,52.9,8.0,87.0,21.0,24.1,33.0,37.0,17.0,9.0,1.0,0.0,8.0,8.0,21.0,10.0,0.0
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,31.0,24.0,20.0,11.0,0.0,13.0,31.0,41.9,18.0,158.0,68.0,43.0,85.0,67.0,6.0,36.0,11.0,0.0,25.0,19.0,50.0,118.0,0.0
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,7.0,3.0,3.0,2.0,2.0,1.0,2.0,50.0,1.0,47.0,13.0,27.7,24.0,14.0,9.0,3.0,1.0,0.0,2.0,3.0,10.0,3.0,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,3.0,1.0,0.0,2.0,1.0,2.0,4.0,50.0,2.0,57.0,16.0,28.1,13.0,29.0,15.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,3.0,2.0,3.0,0.0,0.0,1.0,5.0,20.0,4.0,21.0,6.0,28.6,10.0,9.0,2.0,2.0,1.0,0.0,1.0,3.0,6.0,4.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0,5.0,121.0,27.0,22.3,7.0,63.0,51.0,4.0,1.0,0.0,3.0,1.0,6.0,4.0,0.0
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,54.0,34.0,38.0,11.0,5.0,16.0,38.0,42.1,22.0,371.0,116.0,31.3,199.0,134.0,38.0,41.0,3.0,0.0,38.0,16.0,70.0,50.0,1.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,46.0,28.0,30.0,12.0,4.0,28.0,52.0,53.8,24.0,222.0,52.0,23.4,129.0,63.0,30.0,40.0,8.0,1.0,32.0,28.0,74.0,85.0,0.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,20.0,14.0,11.0,9.0,0.0,6.0,17.0,35.3,11.0,137.0,38.0,27.7,82.0,50.0,5.0,23.0,8.0,0.0,15.0,4.0,24.0,95.0,1.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,17.0,14.0,3.0,6.0,8.0,4.0,10.0,40.0,6.0,462.0,123.0,26.6,26.0,154.0,282.0,22.0,6.0,0.0,16.0,7.0,24.0,1.0,0.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,97.0,55.0,39.0,35.0,23.0,36.0,75.0,48.0,39.0,555.0,160.0,28.8,235.0,247.0,73.0,45.0,5.0,0.0,40.0,26.0,123.0,48.0,2.0
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,2.0,2.0,0.0,1.0,1.0,1.0,12.0,8.3,11.0,41.0,8.0,19.5,8.0,27.0,6.0,7.0,3.0,0.0,4.0,2.0,4.0,3.0,0.0
