Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,1.0,0.0,0.0,16.0,5.0,8.0,7.0,3.0,6.0,0.0,0.0,0.0,33.0,4.0,9.0,30.8
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10.0,2.0,0.0,63.0,60.0,0.0,28.0,27.0,42.0,1.0,0.0,0.0,356.0,24.0,41.0,36.9
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,3.0,0.0,0.0,17.0,3.0,0.0,3.0,8.0,10.0,0.0,1.0,0.0,170.0,56.0,25.0,69.1
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,1.0,2.0,33.3
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1.0,0.0,0.0,17.0,23.0,2.0,32.0,14.0,30.0,0.0,0.0,0.0,135.0,4.0,24.0,14.3
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5.0,0.0,0.0,61.0,40.0,21.0,24.0,6.0,11.0,0.0,0.0,0.0,123.0,229.0,215.0,51.6
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6.0,0.0,0.0,55.0,37.0,0.0,10.0,45.0,63.0,0.0,0.0,0.0,323.0,70.0,49.0,58.8
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13.0,1.0,1.0,66.0,38.0,0.0,29.0,37.0,46.0,2.0,0.0,0.0,401.0,51.0,36.0,58.6
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0.0,0.0,0.0,19.0,26.0,0.0,2.0,9.0,16.0,0.0,0.0,0.0,127.0,5.0,14.0,26.3
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0.0,0.0,0.0,16.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,31.0,21.0,43.0,32.8
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4.0,0.0,0.0,21.0,13.0,0.0,108.0,27.0,31.0,0.0,1.0,0.0,311.0,47.0,27.0,63.5
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1.0,0.0,0.0,2.0,2.0,0.0,30.0,5.0,5.0,0.0,0.0,0.0,49.0,8.0,8.0,50.0
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,2.0,0.0,0.0,12.0,16.0,3.0,44.0,10.0,8.0,0.0,0.0,0.0,118.0,10.0,16.0,38.5
