Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot-Creating Actions,Shot-Creating Actions p90,SCA pass live,SCA pass dead,SCA from dribbles,SCA shots,SCA from fouls,Goal-Creating Actions,Goal-Creating Actions p90,GCA pass live,GCA pass dead,GCA dribbled,GCA shots,GCA fouls,GCA OG
Yoël Armougom,fr FRA,"DF,MF",Caen,fr Ligue 1,20,1998,20.6,26.0,1.26,24.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Stuart Armstrong,sco SCO,"MF,FW",Southampton,eng Premier League,26,1992,15.9,55.0,3.46,41.0,3.0,2.0,3.0,6.0,8.0,0.5,6.0,0.0,0.0,0.0,2.0,0.0
José Arnaiz,es ESP,"DF,MF",Leganés,es La Liga,23,1995,1.3,2.0,1.59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,61.0,2.76,48.0,0.0,4.0,7.0,2.0,7.0,0.32,6.0,0.0,0.0,1.0,0.0,0.0
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,82.0,2.57,40.0,26.0,1.0,6.0,9.0,15.0,0.47,5.0,7.0,0.0,1.0,2.0,0.0
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,29.0,1.31,24.0,1.0,1.0,2.0,1.0,6.0,0.27,5.0,0.0,0.0,1.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,72.0,2.43,60.0,2.0,5.0,2.0,3.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
Takuma Asano,jp JPN,"MF,FW",Hannover 96,de Bundesliga,23,1994,7.8,9.0,1.16,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
