Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Enis Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,31.5,3.0,63.0,18.0,28.6,2.0,0.57,0.05,0.17,18.0,0.0,0.0,3.7,3.7,0.06,-0.7,-0.7
Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Bardsley,sco SCO,DF,Burnley,eng Premier League,33,1985,18.6,0.0,12.0,1.0,8.3,0.65,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Nicolò Barella,it ITA,"MF,FW",Cagliari,it Serie A,21,1997,34.5,1.0,52.0,12.0,23.1,1.51,0.35,0.02,0.08,1.0,0.0,1.0,2.9,2.1,0.04,-1.9,-1.1
Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,de Bundesliga,29,1989,12.0,0.0,7.0,1.0,14.3,0.58,0.08,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Antonino Barillà,it ITA,MF,Parma,it Serie A,30,1988,29.1,3.0,21.0,8.0,38.1,0.72,0.28,0.14,0.38,0.0,0.0,0.0,2.4,2.4,0.11,0.6,0.6
Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,13.8,3.0,38.0,8.0,21.1,2.75,0.58,0.08,0.38,1.0,0.0,0.0,3.8,3.8,0.1,-0.8,-0.8
Aymen Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,5.7,0.0,4.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2
Ashley Barnes,at AUT,FW,Burnley,eng Premier League,28,1989,26.5,12.0,61.0,27.0,44.3,2.3,1.02,0.16,0.37,0.0,2.0,2.0,12.0,10.4,0.17,0.0,-0.4
Harvey Barnes,eng ENG,"FW,MF",Leicester City,eng Premier League,20,1997,11.2,1.0,39.0,11.0,28.2,3.5,0.99,0.03,0.09,0.0,0.0,0.0,3.2,3.2,0.08,-2.2,-2.2
Antonio Barragán,es ESP,"DF,MF",Betis,es La Liga,31,1987,10.4,0.0,3.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Antonio Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,6.6,0.0,4.0,1.0,25.0,0.61,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,16,2001,4.4,1.0,5.0,2.0,40.0,1.13,0.45,0.2,0.5,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6
Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,8.7,0.0,8.0,3.0,37.5,0.92,0.34,0.0,0.0,1.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musa Barrow,gm GAM,"FW,MF",Atalanta,it Serie A,19,1998,6.7,1.0,31.0,7.0,22.6,4.64,1.05,0.03,0.14,0.0,0.0,0.0,3.1,3.1,0.1,-2.1,-2.1
Fin Bartels,de GER,FW,Werder Bremen,de Bundesliga,31,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Bartra,es ESP,DF,Betis,es La Liga,27,1991,32.5,1.0,10.0,3.0,30.0,0.31,0.09,0.1,0.33,1.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3
Andrea Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Baselli,it ITA,MF,Torino,it Serie A,26,1992,26.4,4.0,43.0,11.0,25.6,1.63,0.42,0.09,0.36,7.0,0.0,0.0,2.7,2.7,0.06,1.3,1.3
Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,14.8,2.0,21.0,7.0,33.3,1.42,0.47,0.1,0.29,5.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7
Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borja Bastón,es ESP,FW,Alavés,es La Liga,25,1992,16.0,5.0,34.0,10.0,29.4,2.13,0.63,0.15,0.5,0.0,0.0,0.0,5.7,5.7,0.17,-0.7,-0.7
Alessandro Bastoni,it ITA,DF,Parma,it Serie A,19,1999,18.8,1.0,3.0,2.0,66.7,0.16,0.11,0.33,0.5,0.0,0.0,0.0,0.6,0.6,0.18,0.4,0.4
