Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,333.0,389.0,85.6,6534.0,1240.0,5.0,16.0,31.3,232.0,265.0,87.5,96.0,108.0,88.9,0.0,0.2,-0.2,4.0,44.0,4.0,1.0,33.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,237.0,327.0,72.5,7495.0,4998.0,1.0,1.0,100.0,125.0,126.0,99.2,111.0,200.0,55.5,0.0,0.1,-0.1,2.0,1.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,2254.0,3147.0,71.6,49838.0,19993.0,33.0,120.0,27.5,1557.0,1819.0,85.6,664.0,1208.0,55.0,13.0,9.9,3.1,85.0,200.0,90.0,30.0,460.0
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,53.0,75.0,70.7,1492.0,856.0,0.0,0.0,0.0,24.0,24.0,100.0,29.0,51.0,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,342.0,467.0,73.2,5013.0,717.0,13.0,32.0,40.6,291.0,379.0,76.8,38.0,56.0,67.9,1.0,1.4,-0.4,18.0,22.0,9.0,1.0,26.0
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,794.0,925.0,85.8,22277.0,12306.0,2.0,2.0,100.0,407.0,410.0,99.3,385.0,513.0,75.0,1.0,0.5,0.5,2.0,7.0,1.0,0.0,1.0
Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,718.0,829.0,86.6,13383.0,3236.0,16.0,36.0,44.4,544.0,592.0,91.9,158.0,201.0,78.6,1.0,1.1,-0.1,16.0,76.0,9.0,1.0,60.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,621.0,805.0,77.1,10289.0,2384.0,15.0,59.0,25.4,496.0,584.0,84.9,110.0,162.0,67.9,4.0,2.0,2.0,22.0,41.0,24.0,0.0,67.0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,682.0,894.0,76.3,10799.0,2574.0,22.0,64.0,34.4,563.0,663.0,84.9,97.0,167.0,58.1,2.0,1.6,0.4,27.0,40.0,24.0,4.0,73.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,916.0,1108.0,82.7,16220.0,4972.0,12.0,38.0,31.6,756.0,850.0,88.9,148.0,220.0,67.3,2.0,2.2,-0.2,26.0,35.0,29.0,14.0,115.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,500.0,716.0,69.8,9888.0,3680.0,4.0,26.0,15.4,370.0,447.0,82.8,126.0,243.0,51.9,1.0,0.3,0.7,9.0,31.0,12.0,5.0,82.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,322.0,427.0,75.4,6679.0,1719.0,3.0,9.0,33.3,228.0,277.0,82.3,91.0,141.0,64.5,0.0,0.2,-0.2,7.0,45.0,2.0,1.0,34.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,39.0,53.0,73.6,1106.0,579.0,0.0,0.0,0.0,22.0,22.0,100.0,17.0,31.0,54.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
